,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
0,Jun-Aug,2010,Boating,USA,California,"Oceanside, San Diego County",unknown,N,18-22
1,Jun-Aug,2010,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",low water,N,12-17
2,Jun-Aug,2010,Invalid,USA,Hawaii,"Habush, Oahu",sports table,N,7-11
3,Jun-Aug,2010,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,sports table,N,unknown
4,Jun-Aug,2010,Provoked,MEXICO,Colima,La Ticla,underwater,N,unknown
5,Jun-Aug,2010,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",sports table,N,unknown
6,Jun-Aug,2010,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",low water,Y,12-17
7,Mar-May,2010,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",fishing,N,unknown
8,Mar-May,2010,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",low water,N,12-17
9,Mar-May,2010,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",low water,N,12-17
10,Mar-May,2010,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,unknown,N,7-11
11,Mar-May,2010,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",sports table,N,unknown
12,Mar-May,2010,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",low water,N,12-17
13,Mar-May,2010,Invalid,ENGLAND,Cornwall,Off Land's End,fishing,N,7-11
14,Mar-May,2010,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,unknown,N,unknown
15,Mar-May,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",sports table,N,7-11
16,Mar-May,2010,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",sports table,N,7-11
17,Mar-May,2010,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,low water,N,unknown
18,Mar-May,2010,Unprovoked,COSTA RICA,Cocos Island,Manuelita,underwater,N,7-11
19,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,sports table,N,12-17
20,Mar-May,2010,Questionable,AUSTRALIA,New South Wales,Lennox Head,sports table,N,7-11
21,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",sports table,N,7-11
22,Mar-May,2010,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",sports table,N,12-17
23,Mar-May,2010,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,fishing,N,18-22
24,Mar-May,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",unknown,N,7-11
25,Mar-May,2010,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",low water,N,unknown
27,Mar-May,2010,Unprovoked,BRAZIL,Pernambuco,Piedade,low water,unknown,unknown
